"HolderAddress","Balance","PendingBalanceUpdate"
"0x3dfa613d67cfe63df999df2464bcce9e53597be6","55,596.999999999999899998","No"
"0x9e67d018488ad636b538e4158e9e7577f2ecac12","54,545.49","No"
"0x916ed5586bb328e0ec1a428af060dc3d10919d84","54,092.167219832319032429","No"
"0xf9ca51c8f281f3eab6c6cee72b4a87b4ad42edc3","51,748.6724","No"
"0x6a891302a7f5c49bee4205a454063857ced6821b","50,000","No"
"0xfe746059a5038c483769fbc12a514c549e2e93e4","46,000.47488443774729968","No"
"0x0d0707963952f2fba59dd06f2b425ace40b492fe","45,394.628580659051864393","No"
"0xd70b5af1b50b473c794213071b67916b185769c4","45,320.520245492686415993","No"
"0x0069bfd13fcc009ba914d336fc3e390bd27b74e0","44,999.99999999999999972","No"
"0x58edf78281334335effa23101bbe3371b6a36a51","44,406.906302390415112561","No"
"0x3c52070260e8c3ac19366da648204f88579cc182","43,141.123894084821385667","No"
"0xdd7bd8dfb381be8397292b03d116fb40da6cbde4","41,447.682398043149142769","No"
"0xab782bc7d4a2b306825de5a7730034f8f63ee1bc","41,186.087815284883233707","No"
"0xcd1f6d17a7c3d68c578ed2799960d492af7d879a","39,582.11116241","No"
"0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf","37,287.687000082872531959","No"
"0xe4335ba33bad71641ac6dcd767cf3b92b8fe0b70","36,013.478460606314408877","No"
"0xb50d4817a50097be0566682e1842465eda1028b4","35,506.849315068493150554","No"
"0xa7a971c22541fa0c831b2e081e4c66ff55b74e40","34,999.99999999999999962","No"
"0x4e3cdc0a29d0a77c8fa576c612cd2dc6649572cd","35,000","No"
"0x5f65f7b609678448494de4c87521cdf6cef1e932","33,517.019570211614420257","No"
"0x10dce18d6b5c779bc8de620f8d0a561dfc3a51f0","32,448.96554176","No"
"0xb724c21b6ef6d23ebe0b2f86676a928b51656def","30,000","No"
"0x2e485b22779bc59b2c79e9ed82430063d52ac55a","29,999.999999999999999935","No"
"0xb0c705882afc613430d4e5f3ab07feeb3cc6c984","28,956.787509674913687295","No"
"0x2407b9b9662d970ece2224a0403d3b15c7e4d1fe","27,998.05","No"
"0x8bea71a28a36b16732bc1f0a9387c5b81afa066c","26,669.115875112367478945","No"
"0x99b85cf530ce0c5e0bea4a0b771ef1d503328a06","26,456.116108379578870004","No"
"0xfbbb0db0b33dc38c65443e4f3aeae2b79a0d35f6","25,953.869994529871850657","No"
"0x7b6ab2ca4bb7b456161baa8d395c4dfc94658d90","25,400.9807589","No"
"0x107961d1d8416a3c807b5a927008eb2a618e1cf0","24,189.991628220329782646","No"
"0xc2a2f4acdcef1127cc191e6bd3cc6d3aab4e2c49","23,722.48673818033605","No"
"0x446b86a33e2a438f569b15855189e3da28d027ba","23,204.256764144","No"
"0x331b226c3f46e2b9a63bfbb44ae2de1ffbc81236","22,379.654060854642081442","No"
"0x4fb312915b779b1339388e14b6d079741ca83128","21,654","No"
"0x67ee5e30eb775c208a89396565a5da9ea66cc0c7","20,831.81362","No"
"0x7a9e6d69f3f8c4aa5e57c566df45c3e3ed301fd9","20,400.65753424657534204","No"
"0xb8d211e179b3d74d9cce156df4fe278538ee2892","19,999.999999999999999835","No"
"0x20a3a4ae2aacb8bbcfd89dc71280dd18cd9a0cb4","19,747.2664864154","No"
"0x91de8f23cb7112609213f287b731c37813a979de","18,120","No"
"0x56244e965c5f62e7fde479a2ca028c351c1c5426","17,924.100778100006510654","No"
"0x3d726a0363908df56e4849ff14c00828e794837d","17,517.775639068060805569","No"
"0x9642b23ed1e01df1092b92641051881a322f5d4e","17,492.208585440779479057","No"
"0xf73778df9745837e8e69abf7ec1960126809fd08","17,022.817020632844999252","No"
"0x2e800f666b592f6bd1311b0eb240afa270498d4b","16,394.142460083721834845","No"
"0xbf8c461d91ca8a83fcdc4aee692b0d8c77c30cd3","16,350","No"
"0x020b4cf71a645a43f2105df57185fcd289a79cb2","16,350","No"
"0x9a214b0eebae9f6ba82e3d5677559bcafa9d681e","16,350","No"
"0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23","15,936.171176096","No"
"0xfbc3b76a206f03f1edbf411f280444cd3fd9c7c8","15,412.324167004891247599","No"
"0xa7b09a2d28e25fbc7fe41416e8d0f8c69b148d4b","15,357.447680696182939024","No"
"0x8661099b7dd3f7b253e64d3d15a67f04bc94f070","15,205.479452054794520145","No"
"0xc6f253a6dbfe9e8e5068dd0d2e1ec0afcb830870","15,159.73364013","No"
"0x2bc2390c826ae5a86fb0e2cb88eb15344a6f3183","15,053","No"
"0xff8c40c1cf896a2b5292c84dcec1be7b4ef8c91e","15,000","No"
"0xbdb97c2d73f5ec7f0ef8944a128fa2a12354a6a9","14,685.67","No"
"0x6a955df8f99d2a3054f9e270658b8f4bf4fdde08","14,620.55755684","No"
"0xcca4d53083ee1ca3631f19c5a5c9d24a87c4ae26","14,000.636363635999879999","No"
"0xaef5d3637b2f728aad389af6a4a28eee87270c5f","13,750.143248945500092256","No"
"0x1d82f71e952ff043e13fa08490ec4630201957af","13,297.76929","No"
"0xbbc2ae13b23d715c30720f079fcd9b4a74093505","13,099.328444461743712465","No"
"0x67d9f2d6d84c0f2f59e7efa75849f85a3fde516e","13,090.909091","No"
"0x14b18e7c5776ccd7bc472cd15b7a1435384d7731","12,816.6781","No"
"0x72947975312e7ba9cdebee5930f47420a0e99c09","12,707.86","No"
"0xef02375ccbae71cbbbf462137f0d3babe0717926","12,580","No"
