"HolderAddress","BalanceInETH","Timeframe"
0xbbc2ae13b23d715c30720f079fcd9b4a74093505,13099.328444461744128,Over 360 days
0x67d9f2d6d84c0f2f59e7efa75849f85a3fde516e,13090.909090999999397888,31 to 90 days
0x14b18e7c5776ccd7bc472cd15b7a1435384d7731,12816.678099999998869504,31 to 90 days
0x72947975312e7ba9cdebee5930f47420a0e99c09,12707.859999999999868928,Over 360 days
0xef02375ccbae71cbbbf462137f0d3babe0717926,12579.999999999998951424,Over 360 days
0x3439b48e3889319502b720167f2055ca78a31899,12559.129100000000212992,31 to 90 days
0x14173af98e6ee57ba96f73b7d8cfb5eabb7226cb,11904.260000000000393216,Up to 30 days
0xa7a60d04fc856fd42119e7e5f11e01ed8ff6af6d,11598.974969999999893504,91 to 180 days
0xb76c61bece7da5bb72458af09afda55bf9cd7283,11480.378100000000835584,31 to 90 days
0x7c6211fd412aa5837564e592495999dd5d81f12c,11041.431457729999798272,Up to 30 days
0x44bdb19db1cd29d546597af7dc0549e7f6f9e480,10939.789585896007794688,Up to 30 days
0xc923dac128960f4ac2a54fe4876739a7e365c210,10796.000000000001048576,Up to 30 days
0x120051a72966950b8ce12eb5496b5d1eeec1541b,10357.72496463144157184,Over 360 days
0xdd845c63702b8f652b3c99c1614bb881975ce859,10340.9554135239360512,91 to 180 days
0x9ba3560231e3e0ad7dde23106f5b98c72e30b468,10326.000000000000524288,Over 360 days
0x986d23091b7d6899190982792057e226eff59a67,10250.999999999999213568,Over 360 days
0x391bf6fdc433e8458cb67debd5874f677f4b4952,10189.123140195285204992,Up to 30 days
0x480d8ceb5b1e121fe2ed2fb91435f539b42deea7,10008.461600000000917504,Up to 30 days
0x5649cd52dd1e6b75cd5fb02c23be8a86e795aa07,10000.0,91 to 180 days
0x62dc31686e6256d33b8cdd4acc41a04fa6452ff2,9552.289839256851972096,31 to 90 days
0x1c05a0add3b45b6fda0767caa930c8a8e7bbe1cb,9371.726896383837339648,181 to 360 days
0xf8d32153a671e93789c147b32d1431d510a0de1a,9349.552066412495765504,91 to 180 days
0x6438ed12ce388f8f95412aa3d02d67ad183f947d,9269.737068362801872896,Over 360 days
0xf436a7e6cbd2f6ff616d2512c0768319c5e9e83f,9209.275481078897836032,91 to 180 days
0x3091751a6491eecceec5631457c0ef29973400b9,9080.0,31 to 90 days
0x15cee8d0db30e183bc9921cccf39dcab7b8b8ec2,8964.281234492444639232,Up to 30 days
